OKPOCode;name
30132536;`УКРГIРВИБУХПРОМ` ДОС.ВИР.П;
14313398;МОГ ПОД МАШЗАВОД IМ КIРОВА;
19357516;"БАНК ""ДЕМАРК""";
24796009;РЕГИОН ТОРГ-ПРОМЫШЛ ПАЛАТА НИК ОБЛ;
05762565;"ВАТ ""КРЕДМАШ""";
00181421;"ГХК ""Луганскшахтострой""";
31787943;"ТОВ ""НДІ техмаш""";
31549003;"ТОВ ""ЗАПОРіЗЬК.З-Д КОЛЬОРОВИХ СПЛАВіВ""";
02066753;УДМТУ iм. адмiрала Макарова;
02071168;ХАРК.НАЦ.АВТОМ-ДОР.ТЕХН.УН;
22009846;ТЕХНИКА,  АО;
05477296;Луцькийадержавнийатехн.унiверситет;
00273991;"ВАТ ""АВЕРС""";
23027467;ЭЛОД, ООО;
14307475;АООТ `НИКОЛАЕВСКОЕ ПР-Е ЭРА`;
22985158;ТВБВ Полонне (ВКО);
02767237;ВОБ Черкаси N220;
22906190;"Мiнська фiлiя АКБ ""КИIВ""";
14308730;"ДНВО ""КОМУНАР""";
04812999;Iншi готiвковi платежi;
16299604;"ЗАТ ""Піллар""";
00377511;"ВАТ ""ПБК ""СЛАВУТИЧ""";
02128678;"ПП НВФ ""Емір""";
22905368;"ДЕРЖАВНЕ ПІДПРИЄМСТВО""НТЦ АСО""";
02763570;ИЗМАИЛЬСКОЕ ОТД.ОБ 6708;
00032767;АНТИМОНОП. КОМ. УКРАЄНИ;
02070944;КИЄВСЬКИЙ НАЦ.УНIВЕР-Т IМ.Т.ШЕВЧЕНКА;
05417070;IНСТИТУТ МЕХАНIКИ IМ.С.П.ТИМОШЕНКА НАН;
00334830;"Институт вина и винограда ""Магарач""";
30203858;"ТзОВ ""Потужність""";
32088400;ООО Добрыня-дар;
20733489;"КЕРЧЕНСЬКА ФІЛІЯ ЗАТ КБ ""ПРИВАТБАНК""";
20452023;"ЗАКАРПАТСЬКА ФАКБ ""ПРАВЕКС-БАНК""";
21684161;"ФКД ВАТ ""ІНПРОМБАНК""";
26237739;"ФАКБ ""ЗОЛОТІ ВОРОТА"" У М.ДНІПРОПЕТРОВС";
09304374;"Ф-Я ""ВІД.ПІБ В М.КР.ЛУЧ ЛУГ. ОБЛ.""";
24676883;"Ф.""ВІД.ПІБ В СМТ.КОМСОМОЛЬСЬКЕ ХАР.ОБЛ";
09324514;"ФІЛІЯ ""ВІД.ПІБ В М.СЕВАСТОПОЛЬ АРК""";
26058020;"ЛЬВІВСЬКА Ф-Я ВАТ БАНК ""БІГ ЕНЕРГІЯ""";
24356233;"ЧЕРКАСЬКА Ф-Я АКІБ ""УКРСИББАНК""";
02827264;"Нез""ясованi суми платежiв за квартиру";
02827666;Пiдволочиське вiддiлення N 6391 ОБ;
25394804;"ЗАТ ""РодАн-Капітал"".";
21856337;СУПРЕД;
19185321;РЫБООБРАБАТЫВАЮЩИЙ КОМБИНА,ОАО;
00226520;"ОАО ТЯЖЕЛОГО ВЕСОСТРОЕНИЯ ""ТОЧМАШ""";
00388168;Укр НДІВ;
31425001;ВIНЬК.РЕДАКЦIЯ РАЙ.РАДIОМОВЛЕН;
14312921;"ЗМКБ ""Прогрес"" iм. акад. О.Г.Iвченка";
32459162;ТОВ Торговий дiм НК Альянс-Миколаїв;
24989777;ПРОМСПЕЦОДЯГ зао;
24102001;"ДП ""НДІ геодезії і картографії""";
30259832;"ПНВРП""Хiмобладнання""";
01056327;СИМФЕРОПОЛЬС. ЭЛЕКТРОТЕХНИЧ. ЗАВОД;
21475581;"УАСТДВ ""РСТ""";
32146954;"ПП ""Фабрика Подiлля""   /Борщiв/";
02477019;"ВАТ ""УНДIПП iм.Т.Г.Шевченка""";
02011918;IНСТИТУТ УРОЛОГIЄ АМНУ;
21418784;Кред.заб-ть (ВИЖНИЦЯ);
30472532;"ООО ""Ти Ди Си""";
21174655;"ООО Фiрма ""Брiг""";
31655768;"ТОВ ""КОНТАКТ""";
32442735;БАНКОР ЧП;
24482080;ВЧ`ЛІКВО`;
13495380;"НПО ""Доникс""";
