MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
688767;"В.""Епіцю-Півд.""ООФ""Укрсоцба";"В.""ЕПІЦЕНТР-ПІВДЕНЬ""ООФ""УКРСОЦБАНК""";;с.- 7-й кілометр Овідіопольськоє дороги, 1;738-60-36
688778;"РоздрВ.ВАТ""БТА Банк""ум.Одес";"РОЗД.ВІД.ВАТ""БТА БАНК""У М.ОДЕС,М.ОДЕСА";;м.Одеса вул.Пушкінська,31;734-21-40
688789;"Від.№ 9 ВАТ КБ ""Нац.стандар";"ВІД.№9ВАТКБ""НАЦ.СТАНДАРТ""М.ОДЕСА";;м.Одеса вул.Приморська,6;729-60-54
688790;"Одеське В№2 ВАТ""Ерсте Банк""";"ОДЕСЬКЕ В №2 ВАТ ""ЕРСТЕ БАНК"" М.ОДЕСА";;м.Одеса вулиця Корольова, 24;785-28-93
688808;"Від.Банк""Демарк""№2, Одеса";"ВІД.БАНКУ""ДЕМАРК""№2, М.ОДЕСА";;м.Одеса вул. Розкидайлівська, буд.65;7304633
688819;"Регд(від)ВАТ""БТАБанк""м.Одес";"РЕГ.ДИР.(ВІД) ВАТ ""БТА БАНК"" У М.ОДЕСА";;м.Одеса пр-т Маршала Жукова,4;734-43-50
688820;Одес.В.№ 42 УніКредит Банку;Одеське В. № 42 УніКредит Банку;;м.Одеса вул.Черняховського , 12;5080050
688831;"КОТОВ.ВІД.№1АБ""УКРКОМУНБАНК";"КОТОВСЬКЕ ВІД. № 1 АБ ""УКРКОМУНБАНК""";;м.Котовськ вул. Кузовкова, буд. 3;3-06-27
688842;"тех.Одес.обл.філія АКБ ""УСБ";"ОДЕСЬКА ОБЛ.Ф.АКБ ""УСБ"" М.ОДЕСА";;м.Одеса вул. Юрія Олеши, 6;738-60-60
688853;"Гайдар. в.АКБ ""ПРАВЕКС-БАНК";"ГАЙДАРСЬКЕВІД.АКБ""ПРАВЕКС-БАНК""";;м.Одеса вул.Гайдара,32;7849-520
688864;"Від.Банк""Демарк""№3, Одеса";"ВІД.БАНКУ""ДЕМАРК""№3, М.ОДЕСА";;м.Одеса вул. Софієвська, буд.18;7237870
688875;"Одеське ЦРВ ВАТ ""Мегабанк""";"ОДЕСЬКЕ ЦРВ ВАТ ""МЕГАБАНК""";;м.Одеса вул.Велика Арнаутська, 25;785-22-37
688886;"Тирасп.в.АКБ""ПРАВЕКС-БАНК""";"ТИРАСПОЛЬСЬКЕВІД.АКБ""ПРАВЕКСБАНК""ОДЕСА";;м.Одеса вул.Тираспольська, 32;748 68 93
691000;В.№1 Полтава Ф. ПУМБ в Дн.;ВІД.№1 ФІЛ. ПУМБ В М.ДН., М.ПОЛТАВА;;м.Полтава вул. Артема, буд. 3;60-67-54
691011;"В""Кременчуц.""ЗАТ""АЛЬФА-БАНК";"В""КРЕМЕНЧУЦ.ЗАТ""АЛЬФА-БАНК""М.КРЕМЕНЧУК";;м.Кременчук вул.Леніна, буд.8/18;4136691
691022;"Кременч.В№1ВАТ""Ерсте Банк""";"КРЕМЕНЧ.В№1 ВАТ""ЕРСТЕ БАНК""М.КРЕМЕНЧУК";;м.Кременчук вулиця 60-річчя Жовтня, 71а;77-07-72
691033;"Полтавське від.ВАТ ""УПБ""";"ПОЛТАВСЬКЕ ВІДДІЛЕННЯ ВАТ""УПБ""М.ПОЛТАВ";;м.Полтава вул. Рози Люксембург, буд. 7;61-54-18
691044;"Полтав.від№2Хар.ф.АБ""БРОКБ""";"ПОЛ.В№2ХФ АБ""БРОКБІЗНЕСБАНК""М.ПОЛТАВА";;м.Полтава вул. Пушкіна, 42/3;613847
691055;"В.ВАТ""СЕБ банк"" у м.Полтава";"В. ВАТ ""СЕБ БАНК"" У М. ПОЛТАВА";;м.Полтава вул. Котляревського,2;805322615579
691066;"Крем.В№3 ВАТ ""РОДОВІД БАНК""";"КРЕМ.В№3 ВАТ ""РОДОВІД БАНК""М.КРЕМЕНЧУК";;м.Кременчук вулиця Халаменюка, 7;73-00-44
691077;"КременчуцькеВ№2ВАТ""РОДОВІДБ";"КРЕМ.В№2 ВАТ ""РОДОВІД БАНК""М.КРЕМЕНЧУК";;м.Кременчук вулиця Халаменюка, 1;2-10-16
